b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-120gp","Foundations of Western Art: Prehistoric to Renaissance","","4.0 units","Lecture","11805R","001","12:30-1:50pm","Tue, Thu","176","90","0","Hector Reyes","SGM123"
"","","","","Discussion","11806R","001","9:00-9:50am","Friday","22","16","0","","THH112"
"","","","","Discussion","11807R","001","9:00-9:50am","Friday","22","4","0","","VKC109"
"","","","","Discussion","11808R","001","10:00-10:50am","Friday","22","22","0","","VKC109"
"","","","","Discussion","11809R","001","11:00-11:50am","Friday","22","21","0","","VKC109"
"","","","","Discussion","11810R","001","12:00-12:50pm","Friday","22","14","0","","VKC109"
"","","","","Discussion","11811R","001","1:00-1:50pm","Friday","22","8","0","","VKC109"
"","","","","Discussion","11812R","001","2:00-2:50pm","Friday","22","4","0","","VKC109"
"","","","","Discussion","11813R","001","3:00-3:50pm","Friday","22","1","0","","VKC109"
"AHIS-125gp","Arts of Asia: Antiquity to 1300","","4.0 units","Lecture","11838R","001","10:00-11:20am","Mon, Wed","88","23","0","Rika Hiro","THH102"
"","","","","Discussion","11839R","001","9:00-9:50am","Thursday","22","5","0","","VKC257"
"","","","","Discussion","11840R","001","10:00-10:50am","Thursday","22","7","0","","VKC257"
"","","","","Discussion","11841R","001","11:00-11:50am","Thursday","22","6","0","",""
"","","","","Discussion","11842R","001","12:00-12:50pm","Thursday","22","5","0","","VKC111"
"AHIS-201g","Digging into the Past","","4.0 units","Lecture","11868R","001","11:00-12:20pm","Tue, Thu","100","91","0","John Pollini","SOSB2"
"","","","","Discussion","11869R","001","12:00-12:50pm","Friday","25","25","0","","WPH206"
"","","","","Discussion","11870R","001","9:00-9:50am","Friday","22","22","0","","VKC207"
"","","","","Discussion","11871R","001","10:00-10:50am","Friday","22","22","0","","WPH103"
"","","","","Discussion","11872R","001","11:00-11:50am","Friday","22","22","0","","WPH103"
"AHIS-255g","Culture Wars: Art and Social Conflict in the Modern World","","4.0 units","Lecture","11888R","001","9:30-10:50am","Tue, Thu","100","11","0","Suzanne Hudson","SOSB2"
"","","","","Discussion","11889R","001","12:00-12:50pm","Friday","22","2","0","","VKC157"
